match_keyword,standard_product_name,brand,product_group,main_ingredient,category_major,category_middle,category_sub,classification_source,classification_score,manual_lock,review_status,enabled,admin_action,admin_updated_at,note
김하진의 궁중 우리소 LA갈비 550g×8팩,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진의 궁중 표고버섯 찜갈비 6팩,,,,,,,,pending,,N,확인필요,N,,,2026-08-31 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진의 별미 포기김치 10kg,,,,,,,,pending,,N,확인필요,N,,,2026-08-31 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진의 황태채 양념구이 150g×11통,,,,,,,,,,,확인필요,N,,,2026-08-28 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김하진의 황태채 양념구이 150gx11통,,,,,,,,pending,,N,확인필요,N,,,2026-08-28 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김호윤셰프의 시그니처 한우한돈 함박스테이크 총 16팩,,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
김호윤쉐프의 호시우보 한우1++스테이크 7팩 + 소스1병,,,,,,,,pending,,N,확인필요,N,,,2026-09-03 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
"깐깐한주부 박미선의 포기김치10kg+보리열무김치1kg, 총 11kg",,,,,,,,,,,확인필요,N,,,2026-08-25 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
깨끗한 소분 멸치,,,,,,,,,,,확인필요,N,,,2026-08-27 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
꽃갈비포함 LA갈비원육 3.6kg,,,,,,,,pending,,N,확인필요,N,,,2026-09-04 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
꽃삼겹&꽃목살 세트 200g*8팩,,,,,,,,pending,,N,확인필요,N,,,2026-09-03 신규 자동등록 · 표준상품명 미확정 · 대시보드에서 기존상품 연결/신규확정/제외 필요
